1,1,33,"BAJO",29
2,1,35,"BAJO",7
3,1,43,"BAJO",95
4,1,54,"BAJO",70
5,1,59,"BAJO",76
6,1,83,"BAJO",46
7,2,56,"BAJO",55
8,2,19,"BAJO",41
9,2,2,"BAJO",94
10,2,77,"BAJO",86
11,2,60,"BAJO",58
12,2,62,"BAJO",5
13,2,58,"BAJO",91
14,2,83,"BAJO",61
15,2,85,"BAJO",94
16,3,7,"BAJO",92
17,3,6,"BAJO",97
18,3,78,"BAJO",95
19,3,69,"BAJO",62
20,3,57,"BAJO",83
21,3,74,"BAJO",63
22,3,86,"BAJO",80
23,3,88,"BAJO",53
24,3,85,"BAJO",24
25,4,52,"BAJO",76
26,4,20,"BAJO",87
27,4,19,"BAJO",93
28,4,28,"BAJO",30
29,4,37,"BAJO",83
30,4,43,"BAJO",65
31,4,5,"BAJO",77
32,4,57,"BAJO",3
33,4,78,"BAJO",11
34,4,90,"BAJO",42
35,4,89,"BAJO",6
36,4,87,"BAJO",43
37,5,29,"BAJO",22
38,5,43,"BAJO",62
39,5,30,"BAJO",58
40,5,70,"BAJO",8
41,5,58,"BAJO",86
42,5,88,"BAJO",75
43,5,83,"BAJO",47
44,5,86,"BAJO",29
45,6,48,"BAJO",90
46,6,31,"BAJO",79
47,6,51,"BAJO",90
48,6,56,"BAJO",26
49,6,77,"BAJO",14
50,6,64,"BAJO",28
51,6,70,"BAJO",34
52,6,79,"BAJO",55
53,6,82,"BAJO",99
54,6,85,"BAJO",73
55,7,34,"BAJO",99
56,7,45,"BAJO",77
57,7,55,"BAJO",88
58,7,52,"BAJO",65
59,7,73,"BAJO",23
60,7,70,"BAJO",37
61,7,88,"BAJO",15
62,7,82,"BAJO",65
63,7,81,"BAJO",67
64,8,10,"BAJO",80
65,8,53,"BAJO",55
66,8,24,"BAJO",96
67,8,34,"BAJO",65
68,8,63,"BAJO",99
69,8,61,"BAJO",72
70,8,73,"BAJO",29
71,8,80,"BAJO",47
72,8,84,"BAJO",94
73,9,4,"BAJO",55
74,9,44,"BAJO",34
75,9,40,"BAJO",64
76,9,36,"BAJO",77
77,9,20,"BAJO",22
78,9,43,"BAJO",45
79,9,9,"BAJO",54
80,9,76,"BAJO",27
81,9,78,"BAJO",96
82,9,73,"BAJO",99
83,9,89,"BAJO",97
84,9,84,"BAJO",72
85,9,90,"BAJO",40
86,10,5,"BAJO",93
87,10,7,"BAJO",1
88,10,53,"BAJO",35
89,10,8,"BAJO",5
90,10,37,"BAJO",73
91,10,75,"BAJO",64
92,10,70,"BAJO",59
93,10,68,"BAJO",87
94,10,74,"BAJO",88
95,10,81,"BAJO",58
96,10,87,"BAJO",84
97,11,10,"BAJO",41
98,11,7,"BAJO",5
99,11,22,"BAJO",38
100,11,27,"BAJO",8
101,11,26,"BAJO",2
102,11,79,"BAJO",46
103,11,77,"BAJO",55
104,11,66,"BAJO",5
105,11,63,"BAJO",78
106,11,90,"BAJO",77
107,12,15,"BAJO",8
108,12,52,"BAJO",10
109,12,14,"BAJO",75
110,12,58,"BAJO",1
111,12,65,"BAJO",64
112,12,66,"BAJO",16
113,12,67,"BAJO",89
114,12,82,"BAJO",92
115,13,43,"BAJO",25
116,13,37,"BAJO",75
117,13,22,"BAJO",48
118,13,46,"BAJO",83
119,13,28,"BAJO",49
120,13,45,"BAJO",60
121,13,30,"BAJO",12
122,13,69,"BAJO",68
123,13,70,"BAJO",3
124,13,90,"BAJO",21
125,14,32,"BAJO",16
126,14,71,"BAJO",67
127,14,76,"BAJO",86
128,14,66,"BAJO",46
129,14,88,"BAJO",75
130,14,83,"BAJO",41
131,14,82,"BAJO",42
132,15,55,"BAJO",16
133,15,73,"BAJO",81
134,15,59,"BAJO",60
135,15,72,"BAJO",11
136,15,83,"BAJO",79
137,15,82,"BAJO",82
138,16,7,"BAJO",9
139,16,13,"BAJO",88
140,16,45,"BAJO",10
141,16,46,"BAJO",28
142,16,40,"BAJO",87
143,16,15,"BAJO",51
144,16,23,"BAJO",28
145,16,37,"BAJO",7
146,16,63,"BAJO",70
147,16,86,"BAJO",73
148,16,87,"BAJO",66
149,16,90,"BAJO",68
150,17,17,"BAJO",90
151,17,24,"BAJO",21
152,17,39,"BAJO",50
153,17,31,"BAJO",86
154,17,30,"BAJO",89
155,17,79,"BAJO",49
156,17,83,"BAJO",28
157,17,85,"BAJO",16
158,17,82,"BAJO",44
159,18,9,"BAJO",13
160,18,28,"BAJO",90
161,18,17,"BAJO",34
162,18,34,"BAJO",5
163,18,14,"BAJO",90
164,18,22,"BAJO",67
165,18,21,"BAJO",68
166,18,58,"BAJO",15
167,18,76,"BAJO",74
168,18,74,"BAJO",27
169,18,89,"BAJO",82
170,18,81,"BAJO",72
171,19,47,"BAJO",70
172,19,43,"BAJO",64
173,19,61,"BAJO",11
174,19,79,"BAJO",29
175,19,72,"BAJO",7
176,19,80,"BAJO",8
177,19,90,"BAJO",45
178,20,30,"BAJO",44
179,20,3,"BAJO",86
180,20,27,"BAJO",75
181,20,50,"BAJO",20
182,20,1,"BAJO",15
183,20,76,"BAJO",80
184,20,83,"BAJO",90
185,21,6,"BAJO",61
186,21,79,"BAJO",57
